Value,Count,DC_DESC
-1,148137899,Offshore
0,170785,No data/unresolved
1,135953107,No data caveat
2,1255553,"No data in 2020-21, filled with 2015-16 data"
3,4267536,"No data in 2020-21, filled with 2010-11 data"
4,38680,"No data in the 10 years prior or post, filled with despeckling process"
5,20127,"No data in the 10 years prior or post, filled with Tenure of AustraliaÂ’s forests (2018)"
6,2340841,Updated lease with 2015-16 data
7,96,Updated lease with 2010-11 data
8,217096,"No data in the 10 years prior or post, filled with stock route data"
